id,name,brand,category,price,description,features,movement,material,image
w1,Royal Oak Selfwinding,Audemars Piguet,watches,14500000,An unparalleled masterpiece of horology. The Audemars Piguet Royal Oak Selfwinding in hand-finished stainless steel features the legendary Grande Tapisserie dial. Each piece embodies ultimate prestige and exclusivity for the discerning Pakistani collector. Includes Free Insured Shipping across Pakistan and a comprehensive 2-Year International Warranty.,"[""Calibre 4302"",""Stainless Steel Case"",""Glareproofed Sapphire Crystal"",""50m Water Resistance""]",Automatic,,/images/submariner_watch.png
w2,Nautilus Travel Time Chronograph,Patek Philippe,watches,32000000,"The epitome of high-end Swiss watchmaking. Fusing two highly popular complications, the Patek Philippe Nautilus Travel Time Chronograph is crafted in exquisite rose gold. Secure this ultra-rare timepiece with confidence. Enjoy Free Insured Shipping across Pakistan and a 2-Year International Warranty.","[""Caliber CH 28-520 C FUS"",""Rose Gold"",""Dual Time Zone"",""120m Water Resistance""]",Automatic Chronograph,,https://images.unsplash.com/photo-1523170335258-f5ed11844a49?auto=format&fit=crop&q=80&w=800
w3,Submariner Date,Rolex,watches,4850000,"The quintessential diver's watch. The Rolex Submariner Date in Oystersteel with a highly-resistant Cerachrom ceramic bezel is a symbol of absolute reliability and enduring status symbol. Shipped with absolute peace of mind via Free Insured Shipping across Pakistan, backed by a 2-Year International Warranty.","[""Calibre 3235"",""Oystersteel"",""Unidirectional Rotatable Bezel"",""300m Water Resistance""]",Automatic,,https://images.unsplash.com/photo-1547996160-81dfa63595aa?auto=format&fit=crop&q=80&w=800
w4,Seamaster Diver 300M,Omega,watches,1850000,A legendary maritime heritage meets modern innovation. The Omega Seamaster Diver 300M offers peerless anti-magnetic resistance and Co-Axial precision. An iconic addition to any gentlemen's collection. Enjoy Free Insured Shipping across Pakistan and our standard 2-Year International Warranty.,"[""Co-Axial Master Chronometer Calibre 8800"",""Helium Escape Valve"",""Anti-magnetic"",""300m Water Resistance""]",Automatic,,https://images.unsplash.com/photo-1587836374828-4dbafa94cf0e?auto=format&fit=crop&q=80&w=800
w5,Datograph Up/Down,A. Lange & Söhne,watches,28500000,"The pinnacle of German haute horlogerie. The Datograph in solid platinum stands as a benchmark in chronograph engineering, boasting a breathtaking hand-engraved balance cock. A generational heirloom offering Free Insured Shipping across Pakistan and a 2-Year International Warranty.","[""Calibre L951.6"",""Platinum Case"",""Outsize Date"",""Power Reserve Indicator""]",Manual Winding,,https://images.unsplash.com/photo-1623998021446-45cd9b269056?auto=format&fit=crop&q=80&w=800
w6,Carrera Chronograph,TAG Heuer,watches,1950000,"Born on the racetrack, the TAG Heuer Carrera Chronograph combines high-adrenaline performance with timeless elegance. A robust statement piece reflecting modern ambition and drive. Delivered safely to your door with Free Insured Shipping across Pakistan and backed by a 2-Year International Warranty.","[""Calibre Heuer 02"",""Stainless Steel Case"",""Tachymeter Bezel"",""100m Water Resistance""]",Automatic Chronograph,,https://images.unsplash.com/photo-1614164185128-e4ec99c436d7?auto=format&fit=crop&q=80&w=800
w7,Big Pilot's Watch,IWC Schaffhausen,watches,3400000,A commanding presence on the wrist. The IWC Big Pilot's Watch Edition 'Le Petit Prince' features striking blue aesthetics and an astonishing 7-day power reserve. The ultimate aviator's instrument. Includes Free Insured Shipping across Pakistan and a 2-Year International Warranty.,"[""Calibre 52110"",""Pellaton Automatic Winding"",""7-Day Power Reserve"",""Soft-iron Inner Case""]",Automatic,,https://images.unsplash.com/photo-1622434641406-a158123450f9?auto=format&fit=crop&q=80&w=800
w8,Fifty Fathoms Automatique,Blancpain,watches,5200000,The progenitor of the modern dive watch. The Blancpain Fifty Fathoms in titanium combines a domed sapphire bezel with immaculate finishing for an elite aquatic lifestyle. Shipped directly via our Free Insured Shipping across Pakistan with a 2-Year International Warranty.,"[""Calibre 1315"",""Titanium Case"",""Sapphire Bezel"",""300m Water Resistance""]",Automatic,,https://images.unsplash.com/photo-1594534475808-b18fc33b045e?auto=format&fit=crop&q=80&w=800
w9,Reverso Tribute Monoface,Jaeger-LeCoultre,watches,3150000,"The watchmaker of watchmakers presents the legendary Reverso. Originally designed for polo players, this Art Deco icon embodies sophisticated elegance for the modern gentleman. Experience unrivaled luxury with Free Insured Shipping across Pakistan and a 2-Year International Warranty.","[""Calibre 822"",""Rectangular Steel Case"",""Appliqué Hour-markers"",""30m Water Resistance""]",Manual Winding,,/images/reverso_watch.png
w10,Tank Must,Cartier,watches,1250000,"A true icon of refined taste. The Cartier Tank Must features unparalleled geometric purity and timeless allure, characterized by its beaded crown and synthetic spinel cabochon. Guaranteed authentic with Free Insured Shipping across Pakistan and a 2-Year International Warranty.","[""High Autonomy Quartz"",""Steel Case"",""Silvered Dial"",""Blued-steel Sword-shaped Hands""]",Quartz,,https://images.unsplash.com/photo-1533139502658-0198f920d8e8?auto=format&fit=crop&q=80&w=800
